,Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,Address,Date2
0,Brooklyn,A1,3079907,2016-10-01,600000,40.68555069,-73.90917969,76A Cooper Street Brooklyn,2016-10
1,Manhattan,A2,1019272,2016-10-03,21330,40.74858093,-73.97648621,580 3 Avenue Manhattan,2016-10
2,Queens,A2,4051257,2016-10-03,960000,40.72798157,-73.84963226,67-12 Yellowstone Boulevard Queens,2016-10
3,Manhattan,A2,1047412,2016-10-04,320000,40.78676987,-73.95575714,4 East 95 Street Manhattan,2016-10
4,Queens,A2,4439537,2016-10-04,900000,40.75292969,-73.70931244,267-07 76 Avenue Queens,2016-10
5,Manhattan,A2,1014995,2016-10-05,13000,40.74499893,-73.99437714,164 West 25 Street Manhattan,2016-10
6,Queens,A2,4051479,2016-10-05,80000,40.72681046,-73.84831238,67-71 Yellowstone Boulevard Queens,2016-10
7,Brooklyn,A2,3321836,2016-10-05,121331,40.59925842,-73.93332672,2229 Knapp Street Brooklyn,2016-10
8,Staten Island,A2,5047234,2016-10-05,456250,40.59791946,-74.08448792,1239 Hylan Boulevard Staten Island,2016-10
9,Brooklyn,A1,3177273,2016-10-05,494146,40.60591888,-73.97103119,1787 East    2 Street Brooklyn,2016-10
10,Brooklyn,A2,3022088,2016-10-05,1938000,40.66981888,-73.98664093,289 9 Street Brooklyn,2016-10
11,Brooklyn,A2,3393008,2016-10-05,3037462,40.69350815,-74.00018311,336 Furman Street Brooklyn,2016-10
12,Brooklyn,A3,3018382,2016-10-06,9900,40.68315125,-73.97779846,582 Pacific Street Brooklyn,2016-10
13,Manhattan,A2,1031639,2016-10-06,50000,40.79024887,-73.9679184,38 West 93 Street Manhattan,2016-10
14,Brooklyn,A2,3002008,2016-10-06,52000,40.69433975,-73.99128723,197 Montague Street Brooklyn,2016-10
15,Manhattan,A2,1036904,2016-10-06,92500,40.76134872,-73.9693985,121 East   57 Street Manhattan,2016-10
16,Queens,A1,4166697,2016-10-06,320000,40.73284912,-73.72492218,241-05 85 Road Queens,2016-10
17,Manhattan,A2,1017089,2016-10-06,972200,40.74732971,-73.98258972,181 Madison Avenue Manhattan,2016-10
18,Manhattan,A2,1003080,2016-10-07,150000,40.71876907,-73.99784851,139 Mulberry Street Manhattan,2016-10
19,Manhattan,A2,1058377,2016-10-07,200000,40.80371094,-73.95304871,121 St Nicholas Avenue Manhattan,2016-10
20,Queens,A2,4298263,2016-10-07,396000,40.60387039,-73.75270844,19-23 Mott Avenue Queens,2016-10
21,Queens,A2,4081426,2016-10-07,597450,40.70571136,-73.90912628,18-64 Menahan Street Queens,2016-10
22,Manhattan,A1,1031588,2016-10-07,1760000,40.78775024,-73.96858978,21 West 89 Street Manhattan,2016-10
23,Brooklyn,A1,3059365,2016-10-07,1915360,40.68643951,-73.97280121,314 Cumberland Street Brooklyn,2016-10
24,Manhattan,A2,1010360,2016-10-10,600000,40.72653961,-74.00861359,96 Vandam Street Manhattan,2016-10
25,Manhattan,A2,1010361,2016-10-10,600000,40.72653961,-74.00861359,92 Vandam Street Manhattan,2016-10
26,Manhattan,A2,1078638,2016-10-11,5800,40.77904892,-73.94991302,311 East   88 Street Manhattan,2016-10
27,Manhattan,A2,1057197,2016-10-11,41500,40.80001831,-73.97013855,881 West End Avenue Manhattan,2016-10
28,Manhattan,A1,1003080,2016-10-11,50000,40.71876907,-73.99784851,139 Mulberry Street Manhattan,2016-10
29,Manhattan,A2,1032131,2016-10-11,73900,40.78577042,-73.97316742,102 West 85 Street Manhattan,2016-10
30,Brooklyn,A1,3061588,2016-10-11,455755,40.72219849,-73.95934296,55 Kent Avenue Brooklyn,2016-10
31,Queens,A1,4576020,2016-10-11,609000,40.69659042,-73.74310303,116-45 Springfield Boulevard Queens,2016-10
32,Manhattan,A2,1009617,2016-10-11,675000,40.73540115,-73.99490356,2 West   13 Street Manhattan,2016-10
33,Queens,A2,4008255,2016-10-11,1827000,40.76052094,-73.92619324,32-55 31 Street Queens,2016-10
34,Manhattan,A2,1027008,2016-10-12,53409,40.76433945,-73.9942627,533 West 48 Street Manhattan,2016-10
35,Manhattan,A2,1040561,2016-10-12,261000,40.75841141,-73.96166229,416 East 58 Street Manhattan,2016-10
36,Manhattan,A2,1010421,2016-10-12,881346,40.73226166,-74.00818634,656 Greenwich Street Manhattan,2016-10
37,Manhattan,A2,1078884,2016-10-12,1500000,40.79681015,-73.94814301,1301 5 Avenue Manhattan,2016-10
38,Manhattan,A2,1085255,2016-10-12,1500000,40.79681015,-73.94814301,1295 5 Avenue Manhattan,2016-10
39,Brooklyn,A2,3008192,2016-10-12,1983000,40.67341995,-73.9989624,355 Hamilton Avenue Brooklyn,2016-10
40,Queens,A2,4155991,2016-10-13,46410,40.72629929,-73.78356171,182-46 80 Drive Queens,2016-10
41,Manhattan,A2,1005822,2016-10-13,70000,40.72726059,-73.98499298,94 St Marks Place Manhattan,2016-10
42,Manhattan,A2,1001087,2016-10-13,110000,40.70917892,-74.0100708,148 Broadway Manhattan,2016-10
43,Bronx,A2,2012042,2016-10-13,133600,40.84926987,-73.89071655,611 East 180 Street Bronx,2016-10
44,Manhattan,A2,1051385,2016-10-13,165050,40.77291107,-73.94499969,10 Gracie Square Manhattan,2016-10
45,Brooklyn,A2,3220865,2016-10-13,1983800,40.61854172,-73.92958832,4702 Avenue N Brooklyn,2016-10
46,Manhattan,A2,1006574,2016-10-14,7700,40.72618866,-73.98999023,63 2 Avenue Manhattan,2016-10
47,Bronx,A3,2113642,2016-10-14,14700,40.84025955,-73.84803009,2472 St Raymond Avenue Bronx,2016-10
48,Brooklyn,A2,3032509,2016-10-14,51000,40.67076874,-73.93946075,284 Albany Avenue Brooklyn,2016-10
49,Brooklyn,A2,3209903,2016-10-14,53182,40.62104034,-73.93948364,3602 Kings Highway Brooklyn,2016-10
50,Manhattan,A2,1048711,2016-10-14,90000,40.77659988,-73.95340729,240 East 84 Street Manhattan,2016-10
51,Manhattan,A2,1015420,2016-10-14,240000,40.73841095,-73.99249268,122 5 Avenue Manhattan,2016-10
52,Manhattan,A2,1048081,2016-10-14,289934,40.78065109,-73.9536972,159 East 88 Street Manhattan,2016-10
53,Bronx,A2,2084217,2016-10-14,406600,40.89202118,-73.89762115,6035 Broadway Bronx,2016-10
54,Queens,A2,4009613,2016-10-14,1161480,40.75740051,-73.92545319,34-41 34 Street Queens,2016-10
55,Brooklyn,A1,3058037,2016-10-14,1268000,40.69369888,-73.97264862,135 Carlton Avenue Brooklyn,2016-10
56,Staten Island,A1,5048389,2016-10-14,1350000,40.59519958,-74.095047,30 Newberry Avenue Staten Island,2016-10
57,Manhattan,A2,1039465,2016-10-17,164000,40.75434113,-73.96851349,928 2 Avenue Manhattan,2016-10
58,Manhattan,A2,1039466,2016-10-17,164000,40.75439835,-73.96846771,930 2 Avenue Manhattan,2016-10
59,Manhattan,A2,1032217,2016-10-19,27950,40.78789139,-73.97402954,162 West 87 Street Manhattan,2016-10
60,Manhattan,A2,1079987,2016-10-19,32140,40.85340118,-73.94006348,160 Cabrini Boulevard Manhattan,2016-10
61,Brooklyn,A2,3141447,2016-10-19,43300,40.63151932,-74.00733185,6223 Ft Hamilton Parkway Brooklyn,2016-10
62,Brooklyn,A2,3074725,2016-10-19,243750,40.69612122,-73.92294312,109 Harman Street Brooklyn,2016-10
63,Manhattan,A2,1078637,2016-10-20,30410,40.77904892,-73.94991302,305 East   88 Street Manhattan,2016-10
64,Bronx,A2,2051355,2016-10-20,55400,40.86518097,-73.8658905,724 Allerton Avenue Bronx,2016-10
65,Queens,A2,4072034,2016-10-20,112750,40.73118973,-73.86641693,93-08 Queens Boulevard Queens,2016-10
66,Bronx,A2,2013582,2016-10-20,120000,40.85903931,-73.89755249,261 East 184 Street Bronx,2016-10
67,Queens,A2,4075017,2016-10-20,124180,40.72277832,-73.85473633,67-41 Burns Street Queens,2016-10
68,Manhattan,A2,1034092,2016-10-20,159000,40.79238892,-73.9768219,187 Riverside Drive Manhattan,2016-10
69,Manhattan,A2,1007618,2016-10-20,194958,40.72399139,-73.99944305,115 Mercer Street Manhattan,2016-10
70,Staten Island,A2,5015141,2016-10-20,272900,40.62717056,-74.09076691,622 Victory Boulevard Staten Island,2016-10
71,Queens,A3,4036800,2016-10-21,24200,40.74608994,-73.88820648,40-37 77 Street Queens,2016-10
72,Brooklyn,A2,3036476,2016-10-21,375000,40.67197037,-73.93585968,1287 Sterling Place Brooklyn,2016-10
73,Queens,A2,4000702,2016-10-21,500000,40.74496841,-73.94355011,45-45 Pearson Street Queens,2016-10
74,Manhattan,A2,1048276,2016-10-21,616000,40.78263855,-73.95362091,1372 Lexington Avenue Manhattan,2016-10
75,Bronx,A2,2013614,2016-10-21,824000,40.86243057,-73.8953476,237 East Fordham Road Bronx,2016-10
76,Manhattan,A2,1077853,2016-10-21,4200000,40.77368927,-73.95860291,170 East   78 Street Manhattan,2016-10
77,Queens,A1,4000740,2016-10-22,30000000,40.74308014,-73.94129944,47-37 Austell Place Queens,2016-10
78,Manhattan,A2,1033820,2016-10-24,10400,40.78718185,-73.97944641,481 West End Avenue Manhattan,2016-10
79,Manhattan,A2,1009799,2016-10-24,31000,40.73075104,-74.00475311,30 Morton Street Manhattan,2016-10
80,Queens,A1,4003092,2016-10-24,56000,40.73754883,-73.92772675,50-26 39 Street Queens,2016-10
81,Manhattan,A2,1017588,2016-10-24,466000,40.75123978,-73.98088074,266 Madison Avenue Manhattan,2016-10
82,Manhattan,A2,1003285,2016-10-24,616350,40.71244049,-73.99411774,121 Madison Street Manhattan,2016-10
83,Manhattan,A2,1032677,2016-10-24,711000,40.78570175,-73.97971344,440 West End Avenue Manhattan,2016-10
84,Queens,A2,4462921,2016-10-25,7500,40.58306885,-73.81926727,98-16 Shore Front Parkway Queens,2016-10
85,Manhattan,A2,1006112,2016-10-25,9500,40.72418976,-73.9901886,34 East 1 Street Manhattan,2016-10
86,Brooklyn,A2,3245024,2016-10-25,55000,40.57574844,-73.96793365,3101 Ocean Parkway Brooklyn,2016-10
87,Manhattan,A2,1014300,2016-10-25,95000,40.74884033,-73.99391174,224 West 30 Street Manhattan,2016-10
88,Manhattan,A2,1015610,2016-10-25,150000,40.74372864,-73.99138641,48 West 25 Street Manhattan,2016-10
89,Manhattan,A2,1009492,2016-10-26,8490,40.73374176,-73.99746704,35 West 9 Street Manhattan,2016-10
90,Manhattan,A2,1013885,2016-10-26,15000,40.74208832,-73.99906921,232 West 19 Street Manhattan,2016-10
91,Bronx,A2,2011826,2016-10-26,80000,40.84692001,-73.89483643,551 East Tremont Avenue Bronx,2016-10
92,Manhattan,A2,1017596,2016-10-26,224929,40.75104141,-73.97963715,28 East 40 Street Manhattan,2016-10
93,Brooklyn,A2,3020410,2016-10-27,32000,40.67501831,-73.98179626,258 5 Avenue Brooklyn,2016-10
94,Brooklyn,A2,3020409,2016-10-27,54000,40.67507172,-73.98177338,256 5 Avenue Brooklyn,2016-10
95,Manhattan,A2,1031707,2016-10-27,94765,40.792099,-73.96720123,63 West 95 Street Manhattan,2016-10
96,Brooklyn,A2,3322578,2016-10-27,152000,40.67753983,-73.96961212,212 Prospect Place Brooklyn,2016-10
97,Queens,A2,4191831,2016-10-27,260500,40.70082092,-73.84142303,84-06 109 Street Queens,2016-10
98,Brooklyn,A2,3020408,2016-10-27,272000,40.67512131,-73.98171997,254 5 Avenue Brooklyn,2016-10
99,Manhattan,A2,1043910,2016-10-27,290610,40.7675705,-73.96011353,226 East 70 Street Manhattan,2016-10
100,Bronx,A2,2096719,2016-10-27,314440,40.8386116,-73.85652161,1540 Unionport Road Bronx,2016-10
101,Brooklyn,A1,3076600,2016-10-27,699868,40.69244003,-73.91719055,133 Woodbine Street Brooklyn,2016-10
102,Manhattan,A2,1044837,2016-10-28,25320,40.76729965,-73.95826721,309 East 70 Street Manhattan,2016-10
103,Queens,A2,4436676,2016-10-28,80000,40.74477005,-73.92568207,39-03 Queens Blvd Queens,2016-10
104,Manhattan,A2,1026949,2016-10-28,481056,40.76266861,-73.99536896,536 West 46 Street Manhattan,2016-10
105,Brooklyn,A3,3156526,2016-10-29,11000,40.62274933,-74.00335693,1335 70 Street Brooklyn,2016-10
106,Manhattan,A2,1048402,2016-10-31,55000,40.78411102,-73.95140076,152 East 94 Street Manhattan,2016-10
107,Manhattan,A2,1040468,2016-10-31,62712,40.75725937,-73.96199036,423 East 56 Street Manhattan,2016-10
108,Queens,A2,4120496,2016-10-31,65522,40.76073837,-73.8024292,163-20 Northern Boulevard Queens,2016-10
109,Manhattan,A2,1057257,2016-10-31,70000,40.80239105,-73.96964264,340 Riverside Drive Manhattan,2016-10
110,Manhattan,A2,1007373,2016-10-31,75000,40.72515869,-74.00372314,204 Spring Street Manhattan,2016-10
111,Bronx,A2,2000683,2016-10-31,93650,40.80664063,-73.92832184,26 Bruckner Boulevard Bronx,2016-10
112,Manhattan,A2,1041904,2016-10-31,2469000,40.7621994,-73.96717072,990 3 Avenue Manhattan,2016-10
113,Queens,A2,4107760,2016-10-31,2644000,40.78073883,-73.80235291,19-29 Francis Lewis Boulevard Queens,2016-10
114,Manhattan,A3,1009131,2016-11-01,10800,40.73336029,-73.99205017,40 East 12 Street Manhattan,2016-11
115,Brooklyn,A3,3154995,2016-11-01,24800,40.61959076,-74.03781891,28 Marine Avenue Brooklyn,2016-11
116,Bronx,A2,2118990,2016-11-01,30000,40.82040024,-73.89952087,860 Hewitt Place Bronx,2016-11
117,Brooklyn,A2,3024923,2016-11-01,39591,40.67193985,-73.97463226,136 8 Avenue Brooklyn,2016-11
118,Bronx,A2,2084204,2016-11-01,114000,40.8870697,-73.90998077,3601 Johnson Avenue Bronx,2016-11
119,Manhattan,A2,1076123,2016-11-01,139200,40.74501038,-74.00488281,445 West   19 Street Manhattan,2016-11
120,Brooklyn,A2,3057846,2016-11-01,225000,40.68078995,-73.9597168,106 Lefferts Place Brooklyn,2016-11
121,Manhattan,A2,1009725,2016-11-01,675000,40.72491074,-74.00675201,36 Dominick Street Manhattan,2016-11
122,Brooklyn,A1,3043524,2016-11-01,735000,40.69118881,-73.93785858,868 Lafayette Avenue Brooklyn,2016-11
123,Manhattan,A2,1051514,2016-11-01,2000000,40.79428864,-73.95001984,1580 Madison Avenue Manhattan,2016-11
124,Manhattan,A2,1015061,2016-11-02,668100,40.7467804,-73.99315643,158 West   28 Street Manhattan,2016-11
125,Brooklyn,A2,3016822,2016-11-02,728000,40.66020966,-73.98594666,400 17 Street Brooklyn,2016-11
126,Manhattan,A2,1080813,2016-11-02,1650000,40.81412888,-73.96130371,524 Riverside Drive Manhattan,2016-11
127,Brooklyn,A2,3064818,2016-11-03,15000,40.7297287,-73.95659637,106 Greenpoint Avenue Brooklyn,2016-11
128,Manhattan,A2,1084956,2016-11-03,21380,40.73839188,-74.00092316,215 West   13 Street Manhattan,2016-11
129,Manhattan,A2,1011116,2016-11-03,21915,40.73839188,-74.00092316,213 West 13 Street Manhattan,2016-11
130,Manhattan,A2,1015685,2016-11-03,48000,40.74451828,-73.9882431,13 West 27 Street Manhattan,2016-11
131,Manhattan,A2,1041498,2016-11-03,80000,40.77254105,-73.96447754,917 Madison Avenue Manhattan,2016-11
132,Queens,A2,4056054,2016-11-03,80000,40.73960114,-73.89781189,66-28 Laurel Hill Boulevard Queens,2016-11
133,Manhattan,A2,1059309,2016-11-03,110000,40.81113052,-73.95274353,351 West  125 Street Manhattan,2016-11
134,Manhattan,A2,1029892,2016-11-03,300000,40.77745819,-73.97962952,118 West 72 Street Manhattan,2016-11
