Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,House Number,Street Name
Brooklyn,A1,3079907,10/1/2016,600000,40.68555069,-73.90917969,76A,COOPER STREET
Manhattan,A2,1019272,10/3/2016,21330,40.74858093,-73.97648621,580,   3 AVENUE
Queens,A2,4051257,10/3/2016,960000,40.72798157,-73.84963226,67-12,YELLOWSTONE BOULEVARD
Manhattan,A2,1047412,10/4/2016,320000,40.78676987,-73.95575714,4,EAST 95 STREET
Queens,A2,4439537,10/4/2016,900000,40.75292969,-73.70931244,267-07,  76 AVENUE
Manhattan,A2,1014995,10/5/2016,13000,40.74499893,-73.99437714,164,WEST 25 STREET
Queens,A2,4051479,10/5/2016,80000,40.72681046,-73.84831238,67-71,YELLOWSTONE BOULEVARD
Brooklyn,A2,3321836,10/5/2016,121331,40.59925842,-73.93332672,2229,KNAPP STREET
Staten Island,A2,5047234,10/5/2016,456250,40.59791946,-74.08448792,1239,HYLAN BOULEVARD
Brooklyn,A1,3177273,10/5/2016,494146,40.60591888,-73.97103119,1787,EAST    2 STREET
Brooklyn,A2,3022088,10/5/2016,1938000,40.66981888,-73.98664093,289,9 STREET
Brooklyn,A2,3393008,10/5/2016,3037462,40.69350815,-74.00018311,336,FURMAN STREET
Brooklyn,A3,3018382,10/6/2016,9900,40.68315125,-73.97779846,582,PACIFIC STREET
Manhattan,A2,1031639,10/6/2016,50000,40.79024887,-73.9679184,38,WEST 93 STREET
Brooklyn,A2,3002008,10/6/2016,52000,40.69433975,-73.99128723,197,MONTAGUE STREET
Manhattan,A2,1036904,10/6/2016,92500,40.76134872,-73.9693985,121,EAST   57 STREET
Queens,A1,4166697,10/6/2016,320000,40.73284912,-73.72492218,241-05,85 ROAD
Manhattan,A2,1017089,10/6/2016,972200,40.74732971,-73.98258972,181,MADISON AVENUE
Manhattan,A2,1003080,10/7/2016,150000,40.71876907,-73.99784851,139,MULBERRY STREET
Manhattan,A2,1058377,10/7/2016,200000,40.80371094,-73.95304871,121,ST NICHOLAS AVENUE
Queens,A2,4298263,10/7/2016,396000,40.60387039,-73.75270844,19-23,MOTT AVENUE
Queens,A2,4081426,10/7/2016,597450,40.70571136,-73.90912628,18-64,MENAHAN STREET
Manhattan,A1,1031588,10/7/2016,1760000,40.78775024,-73.96858978,21,WEST 89 STREET
Brooklyn,A1,3059365,10/7/2016,1915360,40.68643951,-73.97280121,314,CUMBERLAND STREET
Manhattan,A2,1010360,10/10/2016,600000,40.72653961,-74.00861359,96,VANDAM STREET
Manhattan,A2,1010361,10/10/2016,600000,40.72653961,-74.00861359,92,VANDAM STREET
Manhattan,A2,1078638,10/11/2016,5800,40.77904892,-73.94991302,311,EAST   88 STREET
Manhattan,A2,1057197,10/11/2016,41500,40.80001831,-73.97013855,881,WEST END AVENUE
Manhattan,A1,1003080,10/11/2016,50000,40.71876907,-73.99784851,139,MULBERRY STREET
Manhattan,A2,1032131,10/11/2016,73900,40.78577042,-73.97316742,102,WEST 85 STREET
Brooklyn,A1,3061588,10/11/2016,455755,40.72219849,-73.95934296,55,KENT AVENUE
Queens,A1,4576020,10/11/2016,609000,40.69659042,-73.74310303,116-45,SPRINGFIELD BOULEVARD
Manhattan,A2,1009617,10/11/2016,675000,40.73540115,-73.99490356,2,WEST   13 STREET
Queens,A2,4008255,10/11/2016,1827000,40.76052094,-73.92619324,32-55,31 STREET
Manhattan,A2,1027008,10/12/2016,53409,40.76433945,-73.9942627,533,WEST 48 STREET
Manhattan,A2,1040561,10/12/2016,261000,40.75841141,-73.96166229,416,EAST 58 STREET
Manhattan,A2,1010421,10/12/2016,881346,40.73226166,-74.00818634,656,GREENWICH STREET
Manhattan,A2,1078884,10/12/2016,1500000,40.79681015,-73.94814301,1301,   5 AVENUE
Manhattan,A2,1085255,10/12/2016,1500000,40.79681015,-73.94814301,1295,   5 AVENUE
Brooklyn,A2,3008192,10/12/2016,1983000,40.67341995,-73.9989624,355,HAMILTON AVENUE
Queens,A2,4155991,10/13/2016,46410,40.72629929,-73.78356171,182-46,80 DRIVE
Manhattan,A2,1005822,10/13/2016,70000,40.72726059,-73.98499298,94,ST MARKS PLACE
Manhattan,A2,1001087,10/13/2016,110000,40.70917892,-74.0100708,148,BROADWAY
Bronx,A2,2012042,10/13/2016,133600,40.84926987,-73.89071655,611,EAST 180 STREET
Manhattan,A2,1051385,10/13/2016,165050,40.77291107,-73.94499969,10,GRACIE SQUARE
