Borough Name,Job Type,Permit Type,Job-Permit,Job Number,BIN Number,Permit Filing Status (Raw),Permit Sequence Number Max Flag,Permit Filing Status,Permit Sub Type,Site License Class,Site Safety Manager Last Name,Site License Class,Permit Superintendent License Type,Permit Superintendent Last Name,Count Permits,Chute,Fence,Supported Scaffold,Sidewalk Shed,Sidewalk Shed/Linear Feet,Other Equipment Flag,EQ Other Description,Construction Material,Boiler Flag,Fire Alarm  Flag,Fuel Burning Flag,Fuel Storage Flag,Fire Suppression Flag,Mechanical Flag,Plumbing Flag,Standpipe Flag,Sprinkler Flag,Construction Equipment Flag,General Construction Flag,Other Flag,Curb Cut Flag,Antennae Flag,Landscape Flag,Builders Pvmt Plan Flag,Fire Protection Plan Flag,Marquee Flag,OT Description,Enlargement Flag (Yes/No),Facade Alteration,D_DATE,Estimated Job Cost
Brooklyn,A1,AL,2. A1,321195112,3079907,I,Y,Initial Permit,,,,,SU,KO,0,,Y,,,0,,,WOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/1/2016,600000
Manhattan,A2,EW,3. A2,122860617,1019272,I,N,Initial Permit,OT,MM,BROWN,MM,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/3/2016,10665
Manhattan,A2,EW,3. A2,122860617,1019272,R,Y,Renewed,OT,MM,BROWN,MM,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/3/2016,10665
Queens,A2,EW,3. A2,421374818,4051257,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/3/2016,480000
Queens,A2,EW,3. A2,421374818,4051257,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/3/2016,480000
Manhattan,A2,EW,3. A2,122876879,1047412,R,Y,eRenewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/4/2016,160000
Manhattan,A2,EW,3. A2,122876879,1047412,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/4/2016,160000
Queens,A2,EQ,3. A2,421375149,4439537,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/4/2016,300000
Queens,A2,EW,3. A2,421375149,4439537,R,Y,Renewed,OT,,,,SU,SUDDELL,0,,Y,,,0,,,PLYWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/4/2016,300000
Queens,A2,EW,3. A2,421375149,4439537,I,N,Initial Permit,OT,,,,SU,WECHSLER,0,,Y,,,0,,,PLYWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/4/2016,300000
